"Date","HTeam","HScore","ATeam","AScore","hID","aID","win"
2018-10-16,"Philadelphia 76ers",87,"Boston Celtics",105,23,2,2
2018-10-16,"Oklahoma City Thunder",100,"Golden State Warriors",108,21,10,10
2018-10-17,"Milwaukee Bucks",113,"Charlotte Hornets",112,17,4,17
2018-10-17,"Brooklyn Nets",100,"Detroit Pistons",103,3,9,9
2018-10-17,"Memphis Grizzlies",83,"Indiana Pacers",111,15,12,12
2018-10-17,"Miami Heat",101,"Orlando Magic",104,16,22,22
2018-10-17,"Atlanta Hawks",107,"New York Knicks",126,1,20,20
2018-10-17,"Cleveland Cavaliers",104,"Toronto Raptors",116,6,28,28
2018-10-17,"New Orleans Pelicans",131,"Houston Rockets",112,19,11,19
2018-10-17,"Minnesota Timberwolves",108,"San Antonio Spurs",112,18,27,27
2018-10-17,"Utah Jazz",123,"Sacramento Kings",117,29,26,29
2018-10-17,"Denver Nuggets",107,"Los Angeles Clippers",98,8,13,8
2018-10-17,"Dallas Mavericks",100,"Phoenix Suns",121,7,24,24
2018-10-18,"Chicago Bulls",108,"Philadelphia 76ers",127,5,23,23
2018-10-18,"Miami Heat",113,"Washington Wizards",112,16,30,16
2018-10-18,"Los Angeles Lakers",119,"Portland Trail Blazers",128,14,25,25
2018-10-19,"Charlotte Hornets",120,"Orlando Magic",88,4,22,4
2018-10-19,"New York Knicks",105,"Brooklyn Nets",107,20,3,3
2018-10-19,"Atlanta Hawks",117,"Memphis Grizzlies",131,1,15,15
2018-10-19,"Cleveland Cavaliers",123,"Minnesota Timberwolves",131,6,18,18
2018-10-19,"Sacramento Kings",129,"New Orleans Pelicans",149,26,19,19
2018-10-19,"Boston Celtics",101,"Toronto Raptors",113,2,28,28
2018-10-19,"Indiana Pacers",101,"Milwaukee Bucks",118,12,17,17
2018-10-19,"Oklahoma City Thunder",92,"Los Angeles Clippers",108,21,13,13
2018-10-19,"Golden State Warriors",124,"Utah Jazz",123,10,29,10
2018-10-20,"Brooklyn Nets",112,"Indiana Pacers",132,3,12,12
2018-10-20,"Toronto Raptors",117,"Washington Wizards",113,28,30,28
2018-10-20,"Boston Celtics",103,"New York Knicks",101,2,20,2
2018-10-20,"Orlando Magic",115,"Philadelphia 76ers",116,22,23,23
2018-10-20,"Detroit Pistons",118,"Chicago Bulls",116,9,5,9
