"team","id"
"Atlanta Hawks",1
"Boston Celtics",2
"Chicago Bulls",3
"Cleveland Cavaliers",4
"Dallas Mavericks",5
"Denver Nuggets",6
"Detroit Pistons",7
"Golden State Warriors",8
"Houston Rockets",9
"Indiana Pacers",10
"Kansas City Kings",11
"Los Angeles Clippers",12
"Los Angeles Lakers",13
"Milwaukee Bucks",14
"New Jersey Nets",15
"New York Knicks",16
"Philadelphia 76ers",17
"Phoenix Suns",18
"Portland Trail Blazers",19
"San Antonio Spurs",20
"Seattle SuperSonics",21
"Utah Jazz",22
"Washington Bullets",23
